Id,Calle y Numero,Colonia,Municipio/Ciudad,Estado,CP
310,INDEPENDENCIA NO 124,Monumental,Guadalajara,Jalisco,44320
311,AV. INDEPENDENCIA NO. 608,Monumento,Juarez,Chihuahua,32020
312,INDEPENDENCIA No 1655,Morelos,Juarez,Chiapas,29510
313,AV. 5 DE MAYO NO 1850,Morelos,Tijuana,Baja California,22056
314,AV. 5 DE MAYO NO 1014,Morelos,Tuxtla Gutierrez,Chiapas,29010
315,AV. 5 DE MAYO No. 1763,Moreno,Tijuana,Baja California,22105
316,CALLE OCAMPO NO.,Nacozari,Mexicali,Baja California,21030
317,AV. 20 DE NOVIEMBRE ESZ SANTOS,Natalia Venegas,Tuxtla Gutierrez,Chiapas,29017
318,AV. 20 DE NOVIEMBRE ESQ. SANTOS DEGOLLADO,Neidhart,Tijuana,Baja California,22020
319,AV. INDEPENDENCIA N0.691,Nextengo,Azcapotzalco,Distrito Federal,2070
320,NICOLAS BRAVO NO 1270,Nueva,Mexicali,Baja California,21100
321,AV. 20 DE NOVIEMBRE ESQ. MATAMOROS,Nueva Delicias,Tuxtla Gutierrez,Chiapas,29010
322,MATAMOROS NO. 325,Nueva El Rosario,Azcapotzalco,Distrito Federal,2128
323,AV. INDEPENDENCIA NO. 1001,Nueva Esperanza,Mexicali,Baja California,21050
324,PLAN DE AYALA S/N.,Nueva Estrella,Tuxtla Gutierrez,Chiapas,29010
325,MATAMOROS NO 360,Nueva Galaxia,Culiacan,Sinaloa,80014
326,AV. INDEPENDENCIA NO 1247,Nueva Reforma,Tuxtla Gutierrez,Chiapas,29010
327,AV. 5 DE MAYO NO 1911,Nuevo Mundo,Juarez,Chiapas,29518
328,AV. LIBERTAD NO 387 ESQ. MORELOS,Nuevo Progreso,Juarez,Chiapas,29510
329,AV. 5 DE MAYO NO. 1400,Nuevo Sur,Guadalajara,Jalisco,44240
330,MIGUEL HIDALGO NO 409,Obispado,Monterrey,Nuevo Leon,64060
331,AV.INDEPENDENCIA NO 672,Obrera,Juarez,Chihuahua,32050
332,CALLE SEBASTIAN ORTIZ NO 690,Obrera,Monterrey,Nuevo Leon,64010
333,PROL. AV 5 DE MAYO NO 109,Obrera Centro,Guadalajara,Jalisco,44140
334,AV. INDEPENDENCIA NO 531,Obrero Campesino,Culiacan,Sinaloa,80013
335,LIBERTAD 1024,Observatorio,Guadalajara,Jalisco,44266
336,KM. 2 CARRETERA TUXTEPEC OAXACA,Orizaba,Mexicali,Baja California,21130
337,AVENIDA 3 CALLE 2,Pablo Amaya Norte,Chihuahua,Chihuahua,31050
338,BLVD. BENITO JUAREZ NO 409,Pablo Amaya Sur,Chihuahua,Chihuahua,31050
339,AV. INDEPENDENCIA NO 1125,Pacifico,Chihuahua,Chihuahua,31030
340,AV. INDEPENDENCIA NO 171,Palestina,Azcapotzalco,Distrito Federal,2070
341,AV. 5 DE MAYO NO.801,Palestina,Juarez,Chiapas,29510
342,AV. INDEPENDENCIA NO.166,Palmar de Orizaba,Mexicali,Baja California,21135
343,AV. INDEPENDENCIA NO.725,Pantaco,Azcapotzalco,Distrito Federal,2510
344,CENTRO PINERO,Parque Rotario,Chihuahua,Chihuahua,31000
345,AV. INDEPENDENCIA NO 1950,Partido Romero,Juarez,Chihuahua,32030
346,ADOLFO LOPEZ MATEOS NO 25,Paseo Alameda,Culiacan,Sinaloa,80019
347,HERMENEGILDO GALEANA S/N,Pasteros,Azcapotzalco,Distrito Federal,2150
348,AV. 5 DE MAYO NO 954,Periodistas,Monterrey,Nuevo Leon,64103
349,INT. PASAJE COMERCIAL LOCAL No. 4 ,Petrolera,Azcapotzalco,Distrito Federal,2480
350,INDEPENDENCIA NO 6,Pistimbak,Tuxtla Gutierrez,Chiapas,29018
351,MATAMOROS 40,Pitolaca,Azcapotzalco,Distrito Federal,2260
352,INDEPENDENCIA 432,Planetario,Tijuana,Baja California,22034
353,AV. INDEPENDENCIA NO.932,Pomarrosa,Tuxtla Gutierrez,Chiapas,29014
354,BLVD.BENITO JUAREZ NO.786,Popular,Juarez,Chihuahua,32110
355,AV. LIBERTAD NO 1294,Postal,Juarez,Chihuahua,32140
356,AV. 20 DE NOVIEMBRE NO. 1371,Potinaspak,Tuxtla Gutierrez,Chiapas,29018
357,KM.13 CARRET.CD. ALEMAN-TUXTEPEC,Prados del Rosario,Azcapotzalco,Distrito Federal,2410
358,BENITO JUAREZ 25,Presidente Madero,Azcapotzalco,Distrito Federal,2430
359,AV. 1O. DE MAYO NO. 102,Presita Magueyosa,Juarez,Coahuila de Zaragoza,25402
360,AV. 1O. DE MAYO NO. 108,Privada Catalana,Tijuana,Baja California,22025
361,AV. 20 DE NOVIEMBRE NO. 1210,Privadas de Lincoln,Monterrey,Nuevo Leon,64100
362,BENITO JUAREZ NO 25,Pro-Hogar,Azcapotzalco,Distrito Federal,2600
363,MATAMOROS 29,Providencia,Azcapotzalco,Distrito Federal,2440
364,AV. LIBERTAD NO. 1961,Pueblo Bonito,Culiacan,Sinaloa,80020
365,CALLE MATAMOROS NO. 236,Pueblo Bonito,Tijuana,Baja California,22034
366,AV. INDEPENDENCIA 1019,Pueblo Nuevo,Mexicali,Baja California,21120
367,AV. 5 DE MAYO NO. 1690,Puerta de Hierro,Tijuana,Baja California,22024
368,ALDAMA 50,Puerta del Sol,Chihuahua,Chihuahua,31060
369,MATAMOROS 123,Puerto de Anapra,Juarez,Chihuahua,32107
370,CALLE MATAMOROS NO. 123,Puerto la Paz,Juarez,Chihuahua,32159
371,AV. INDEPENDENCIA NO.864,Rachali,Chihuahua,Chihuahua,31060
372,AV. 5 DE MAYO NO.1987,Rancho Anapra,Juarez,Chihuahua,32107
373,AV. INDEPENDENCIA NO. 1370-B,Rancho el Grande,Tijuana,Baja California,22025
374,AV. 20 DE NOVIEMBRE NO.1022,Rancho la Mora,Toluca,Mexico,50020
375,LIBERTAD ESQ. MORELOS 834,Reforma,Chihuahua,Chihuahua,31034
376,BLVD. BENITO JUAREZ NO. 197-A,Residencial Zarco,Chihuahua,Chihuahua,31020
377,AV. 5 DE MAYO NO. 954,Reynosa Tamaulipas,Azcapotzalco,Distrito Federal,2200
378,CALLE MATAMOROS NO. 31,Rinconada el Olivar,Azcapotzalco,Distrito Federal,2400
379,OAXACA S/N,Roma,Tijuana,Baja California,22054
380,AV. SEBASTIAN ORTIZ NO.229,Rosario,Chihuahua,Chihuahua,31030
381,AV. 5 DE MAYO ESQ. ALDAMA No. 991,Rosario Poniente,Tuxtla Gutierrez,Chiapas,29014
382,CALLE LAZARO CARDENAS S/N.,Rosario Uzarraga,Culiacan,Sinaloa,80014
383,AV. 20 DE NOVIEMBRE NO.2244,Rosendo Salazar,Azcapotzalco,Distrito Federal,2409
384,CALLE JUAREZ NO. 855,Rotarismo,Culiacan,Sinaloa,80019
385,AV. 5 DE MAYO NO. 631,Ruben Jaramillo,Culiacan,Sinaloa,80015
386,AV. 5 DE MAYO ESQ. MATAMOROS NO 1070,Rubio,Chihuahua,Chihuahua,31020
387,AV. INDEPENDENCIA NO.787,Sagrada Familia,Guadalajara,Jalisco,44200
388,INDEPENDENCIA 807,San Agustin,Chihuahua,Chihuahua,31054
389,AV. INDEPENDENCIA NO. 409,San Angelin,Toluca,Mexico,50010
390,INDEPENDENCIA NO. 409,San Antonio,Guadalajara,Jalisco,44170
391,CALLE MATAMOROS NO. 415,San Antonio,Guadalajara,Jalisco,44257
392,AV. 5 DE MAYO NO. 2061 ESQ. BLVD.BENITO JUAREZ,San Antonio,Toluca,Mexico,50018
393,AV. JESUS CARRANZA NO. 812,San Antonio (P-37),Monterrey,Nuevo Leon,64103
394,C. GUADALUPE VICTORIA N0.373,San Bernabe,Monterrey,Nuevo Leon,64100
395,C. GUADALUPE VICTORIA NO 373,San Bernardo,Guadalajara,Jalisco,44260
396,AV. JESUS CARRANZA ,San Borja,Juarez,Chihuahua,32020
397,AV. INDEPENDENCIA ,San Clemente,Mexicali,Baja California,21138
398,BLVD. BENITO JUAREZ ESQ. AV. INDEPENDENCIA,San David I (P- 33),Monterrey,Nuevo Leon,64103
399,IGNACIO ZARAGOZA ,San Fernando,Chihuahua,Chihuahua,31060
400,MIGUEL HIDALGO ,San Fernando,Tuxtla Gutierrez,Chiapas,29010
401,BLVD. BENITO JUAREZ ,San Francisco,Tabasco,Zacatecas,99644
402,AV. 20 DE NOVIEMBRE NO 1371,San Gabriel,Monterrey,Nuevo Leon,64103
403,AV. 20 DE NOVIEMBRE ,San Isidro (P-108),Monterrey,Nuevo Leon,64103
404,AV. 5 DE MAYO,San Jacinto,Mexicali,Baja California,21138
405,CALLE PRINCIPAL S/N.,San Jacinto,Tuxtla Gutierrez,Chiapas,29000
406,AV. INDEPENDENCIA  ANTS.998,San Jorge,Chihuahua,Chihuahua,31054
407,CALLE SEBASTIAN ORTIZ ,San Juan,Chihuahua,Chihuahua,31054
408,CARR. A OJITLAN ,San Juan de la Cruz,Toluca,Mexico,50010
409,CALLE OCAMPO S/M.,San Juan Tlihuaca,Azcapotzalco,Distrito Federal,2400
410,AV. INDENDENCIA ,San Juanito,Juarez,Chiapas,29510
411,AV. 5 DE MAYO ,San Luis Obispo,Toluca,Mexico,50040
412,ALDAMA ESQ. 20 DE NOVIEMBRE,San Marcos,Azcapotzalco,Distrito Federal,2020
413,AV. MANCILLA ESQ. ALDAMA S/N,San Marcos,Mexicali,Baja California,21050
414,C. ALDAMA ,San Marcos Oriente,Guadalajara,Jalisco,44330
415,PROL. AV. 5 DE MAYO,San Mateo,Azcapotzalco,Distrito Federal,2490
416,KM. 2 CARRETERA TUXTEPEC- VALLE NACIONAL,San Miguel,Chihuahua,Chihuahua,31060
417,ARTEAGA ,San Miguel,Mexicali,Baja California,21137
418,BLVD. BENITO JUAREZ ESQ. AV. 5 DE MAYO ,San Pablo Xalpa,Azcapotzalco,Distrito Federal,2110
419,MATAMOROS ,San Pedro,Chihuahua,Chihuahua,31000
420,INDEPENDENCIA,San Rafael,Azcapotzalco,Distrito Federal,2010
421,ALDAMA ,San Rafael,Chihuahua,Chihuahua,31060
422,,San Rafael,Toluca,Mexico,50019
423,,Santa Catarina,Azcapotzalco,Distrito Federal,2250
424,,Santa Clara,Mexicali,Baja California,21110
425,,Santa Clara,Tuxtla Gutierrez,Chiapas,29014
426,,Santa Cruz,Juarez,Chiapas,29518
427,,Santa Cruz,Tijuana,Baja California,22105
428,,Santa Elena Estadio,Guadalajara,Jalisco,44230
429,,Santa Rita,Chihuahua,Chihuahua,31020
430,,Santa Rita,Juarez,Coahuila de Zaragoza,25419
431,,Santa Rosa,Chihuahua,Chihuahua,31050
432,,Santiago,Tabasco,Zacatecas,99650
433,,Santiago Miltepec,Toluca,Mexico,50020
434,,Santo Domingo,Azcapotzalco,Distrito Federal,2160
435,,Santo Domingo,Tuxtla Gutierrez,Chiapas,29000
436,,Sara Lugo,Juarez,Chihuahua,32108
437,,Sector Naval,Azcapotzalco,Distrito Federal,2080
438,,Sector Popular,Toluca,Mexico,50040
439,,Sector Salud,Chihuahua,Chihuahua,31020
440,,Secundaria,Tabasco,Zacatecas,99630
441,,Siglo XXI,Juarez,Chihuahua,32153
442,,Sindicalista,Mexicali,Baja California,21135
443,,Sol del Amanecer,Mexicali,Baja California,21135
444,,Solidaridad,Culiacan,Sinaloa,80015
445,,Tabasco,Tabasco,Zacatecas,99630
446,,Tecpate Abajo,Juarez,Chiapas,29519
447,,Tecpate Arriba,Juarez,Chiapas,29519
448,,Telegrafistas,Juarez,Chihuahua,32140
449,,Tenanguillo,Tabasco,Zacatecas,99630
450,,Tezozomoc,Azcapotzalco,Distrito Federal,2459
451,,Ticoman,Azcapotzalco,Distrito Federal,2240
452,,Tierra Nueva,Azcapotzalco,Distrito Federal,2130
453,,Tlacopa,Toluca,Mexico,50010
454,,Toribio Ortega,Chihuahua,Chihuahua,31060
455,,Unidad Aldama,Monterrey,Nuevo Leon,64040
456,,Unidad Cuitlahuac,Azcapotzalco,Distrito Federal,2500
457,,Unidad Proletaria,Chihuahua,Chihuahua,31054
458,,Universidad,Guadalajara,Jalisco,44214
459,,Universidad,Toluca,Mexico,50010
460,,Universitaria,Culiacan,Sinaloa,80013
461,,Urbi Villa Bonita,Monterrey,Nuevo Leon,64102
462,,Urbi Villa Colonial,Monterrey,Nuevo Leon,64103
463,,Urbi Villa del Rey,Monterrey,Nuevo Leon,64102
464,,Vallarta Poniente,Guadalajara,Jalisco,44110
465,,Valle del Agua,Culiacan,Sinaloa,80014
466,,Valle Dorado,Tuxtla Gutierrez,Chiapas,29014
467,,Valle Escondido,Chihuahua,Chihuahua,31054
468,,Venustiano Carranza,Monterrey,Nuevo Leon,64103
469,,Vida Mejor,Juarez,Chiapas,29510
470,,Villa del Campo,Mexicali,Baja California,21137
471,,Villa Del Sol,Culiacan,Sinaloa,80015
472,,Villa Dolores,Chihuahua,Chihuahua,31054
473,,Villa Lomas,Tijuana,Baja California,22034
474,,Villa San Marcos,Tuxtla Gutierrez,Chiapas,29010
475,,Villa Universidad,Culiacan,Sinaloa,80010
476,,Villareal,Tuxtla Gutierrez,Chiapas,29014
477,,Villas Coahuila,Mexicali,Baja California,21137
478,,Villas de San Juan,Guadalajara,Jalisco,44299
479,,Villas del Carmen,Monterrey,Nuevo Leon,64103
480,,Villas Del Estadio,Guadalajara,Jalisco,44240
481,,Villas del Sur,Chihuahua,Chihuahua,31054
482,,Villas Galicia,Mexicali,Baja California,21137
483,,Vista Dorada,Tijuana,Baja California,22034
484,,Wake,Azcapotzalco,Distrito Federal,2050
485,,Yuquis,Tuxtla Gutierrez,Chiapas,29016
486,,Zacatecas,Juarez,Chihuahua,32130
487,,Zacatecas,Mexicali,Baja California,21070
488,,Zacatecas,Mexicali,Baja California,21090
489,,Zarco,Chihuahua,Chihuahua,31020
490,,Zona Centro,Chihuahua,Chihuahua,31000
491,,Zona Centro,Tijuana,Baja California,22000
492,,Zona Dorada,Culiacan,Sinaloa,80014
493,,Zona Dorada II,Culiacan,Sinaloa,80014
494,,Zona Este,Tijuana,Baja California,22000
495,,Zona Industrial,Mexicali,Baja California,21010
496,,Zona Industrial,Mexicali,Baja California,21070
497,,Zona Industrial,Mexicali,Baja California,21090
498,,Zona Norte,Tijuana,Baja California,22000
499,,Zopilocalco Norte,Toluca,Mexico,50050
500,,Zopilocalco Sur,Toluca,Mexico,50050
